,interview,actual_result,expected_result
0," We were lucky that we didn't lose. We had our chances, but also played badly. In the end we didn't get a grip on the game, but I can't blame the team for that. We had our chances, but also played badly. In the end we didn't get a grip on the game, but also played badly. In the end we didn't get a grip on the game, but also played badly.",dominant loss,dominant loss
1, The result is very bitter. We had a lot of possession in the first half and were able to take a good bite in the second half. We are now in a position to take full advantage of that. We are disappointed.,dominant loss,dominant loss
2," The first half an hour was very, very bad for us. It was an open exchange of blows. We have to be much calmer in order to score points. We have to get better at that.",dominant loss,dominant loss
3, We didn't play our best game in the second half. In the first half we didn't have enough punch and creativity. We didn't have the security in place.,dominant loss,dominant loss
4, We didn't get into the game well. We had a lot of control in the first half and got into the duels well. In the end we deserved to lose.,dominant loss,dominant loss
5, We played very well and created good chances. But we didn't defend well. The crux of the matter was that Düsseldorf wasn't as attractive to the eye as it is to be in the competition. Düsseldorf is very well organized and has good circulation.,dominant loss,dominant loss
6," I would like to pay a huge compliment to the team, that was very, very important. It was important to keep calm and not allow anything.",dominant loss,dominant loss
7," We had problems for a long time. The 1-0 was very annoying for Gladbach. We have to live with the 0: 1. We're in a deep sleep, we'll get another one.",dominant loss,dominant loss
8, It was a very difficult game. We had to learn to defend passionately. The first half was very wild. In the second half we got the better of Gladbach. The 2-0 is very annoying for us.,dominant loss,dominant loss
9," We were a little lucky in one or the other situation. We didn't play well in the first half, then we got better.",dominant loss,dominant loss
10," I am extremely disappointed. It was a game that was far, far too easy for us to defend. It was not as easy as it was in the first half. I am disappointed with the result and the performance. I am disappointed with the way the team behaved.",dominant loss,dominant loss
11," It's a deserved victory for Augsburg. We were clearly the better team for the duration of the game, but we didn't do the basics. It's a shame because Augsburg has always won here.",dominant loss,dominant loss
12," We played a very good game. We didn't allow many chances to score. We were too passive, we had too little possession and no clear scoring chances.",dominant loss,dominant loss
13," It's a deserved defeat because we didn't play a good game in the first half. We did very well in the second half and then in the end, we deserved to lose.",dominant loss,dominant loss
14, We have a lot to do. We have to work on that. We have to be consistent in our assignment situations. We have to get it done quicker.,dominant loss,dominant loss
15," It's a very, very difficult situation for us. We are not in a good position to be in the Bundesliga. We are not in the best position to be in the Bundesliga.",dominant loss,dominant loss
16, We played a very good first half and then lost the thread. That was a deserved victory for Hoffenheim.,dominant loss,dominant loss
17," We are disappointed and disappointed. It is a very, very bitter defeat. We are disappointed.",dominant loss,dominant loss
18," We didn't deserve to be in the game. We didn't deserve to be in the game. We weren't fit and strong as we were in the second half. We had a lot of chances, but we weren't sure of them.",dominant loss,dominant loss
19, I am very sorry for the fans. We had a bad first half and we didn't defend well. Then we got better and more dangerous.,dominant loss,dominant loss
20," I'm very disappointed. It wasn't a good first half for us. In the second half we didn't do well, even though we had two great chances in the second half. We still have a lot to do.",dominant loss,dominant loss
21," The team has a lot of work to do, but we have to make sure everything is right for today. We are not going to let the game get us off track, but we have to do everything we can to get the game over to our feet.",dominant loss,dominant loss
22," It was an extremely difficult game with two different halves. We had the means, but then lost the ball in the first half. In the end, we deserved to lose.",dominant loss,dominant loss
23," It's not a nice feeling when you're 0-0 down. We played a really good game, had a lot of possession and were very effective. We were lucky in one or the other situation. It's a shame we didn't take anything with us.",dominant loss,dominant loss
24," We had the luck we needed today. We weren't good enough in the first half, then we get two goals from long balls.",dominant loss,dominant loss
25," We had to play a lot more courageously in the first half. We didn't do that well, especially in the second half. After the break, we made a small development. In the end we are satisfied, but we have to accept the defeat.",dominant loss,dominant loss
26, I'm disappointed that we didn't get into the game. We played a really good first half and deservedly took the lead. We didn't get into the game well and had one or two opportunities to counterattack.,dominant loss,dominant loss
27," We were the better team for over 90 minutes, but we had a lot of chances. We weren't good enough in front of goal.",dominant loss,dominant loss
28," It's not easy to play here in Hoffenheim. It's hard to find the right words. Hoffenheim played a really bad game today. We were very dominant in the first half. In the end, I'm very satisfied.",dominant loss,dominant loss
29," It was a deserved victory for Leverkusen. We had the luck we needed to take the lead, but we couldn't take the lead. We weren't good enough at the game, we weren't good enough at the game. Leverkusen were the better team for the second half, but it wasn't enough today.",dominant loss,dominant loss
30," We were in the game for a long time, but we didn't stop until we made it 1-0 through Lewandowski. We weren't good enough as a team to be in the Europa League.",dominant loss,dominant loss
31, We had to take the lead and then we were too passive. In the second half we got better access and then we got better access.,dominant loss,dominant loss
32," It was an open game. We were in the game from the start, we were the happier team for over 90 minutes. We had to be more patient. After the break we had a good feeling, we have to let the game sink in.",dominant loss,dominant loss
33," We played a very good game. We didn't get into the game well. The first half was better, the second was better. It's a shame we didn't reward ourselves enough.",dominant loss,dominant loss
34," We had the necessary number of chances to score a goal. It was a disastrous performance from us. In the end, I'm satisfied with the performance and the performance. We are not resting on the points.",dominant loss,dominant loss
35, We had a very good first half. In the second half we did better. In the end it was deserved.,dominant loss,dominant loss
36," It's a deserved defeat. We had too many simple ball losses. We were a little too passive, the guys didn't behave like they did during the game.",dominant loss,dominant loss
37," I am extremely disappointed. We didn't play well, but we did very well. The team has a lot of potential, but we should have scored one or two goals more.",dominant loss,dominant loss
38," We played a good, strong first half. We did not let anything burn, we had enough chances to score. It's a shame we didn't take anything with us.",dominant loss,dominant loss
39," I'm sorry for the fans, but not yet with the team, I'm very sorry for the fans. We didn't play well, we had a lot of ball losses and we lost two balls.",dominant loss,dominant loss
40," We played a very good first half and deservedly lost. The first half was certainly not bad, we had a lot of possession and then we were too passive. In the end we are disappointed, we were lucky and that's why we are disappointed.",dominant loss,dominant loss
41," We did very well in the first half, but we didn't defend intelligently. The 2-0 was too easy, then we got into the game too easily.",dominant loss,dominant loss
42," We played a very good first half with a lot of force. We had a lot of control in the second half, so the win is deserved at height.",dominant loss,dominant loss
43," It's a very bitter defeat, we didn't deserve it. It's not undeserved.",dominant loss,dominant loss
44, I am of course disappointed. We didn't deserve this defeat. We did well in the first half and were well organized.,dominant loss,dominant loss
45," We were very well organized and had good access. We should have scored the goal more quickly. We weren't that good in the second half. We didn't defend well at the beginning, but we were good at the second half.",dominant loss,dominant loss
46," We are disappointed and disappointed, but also a little too happy about the way things went. We didn't manage to get a penalty like that, so we weren't happy with the game. We didn't get a penalty like that, we weren't brave enough to take risks.",dominant loss,dominant loss
47, We did well in the first half and had good access in the second half. We had a lot of possession and had chances to score. The goals conceded were very annoying.,dominant loss,dominant loss
48," It was a very difficult game. We had a lot of possession in the first half, but didn't allow much. We weren't sure of the ball enough. We weren't sure of the ball enough, but we didn't shoot enough. In the second half we didn't defend well.",dominant loss,dominant loss
49, We have a lot to learn from this game. The guys did a great job. I am very disappointed. We were a little too passive in the second half.,dominant loss,dominant loss
50," We played a very good first half with a lot of power and determination. We were too careless about our chances. We didn't take advantage of our own chances to score. We were a little lucky in the second half, but I'm proud of the boys.",regular loss,dominant loss
51, We had good control in the first half and created scoring chances. In the second half we got better access and played more calmly and confidently. We have to accept the defeat and hope that the result will give us confidence again in the coming weeks.,regular loss,dominant loss
52," We had a lot of chances to score, so we were a tad too open in the first half. In the second half we were too passive. It's a shame we weren't rewarded.",regular loss,dominant loss
53," We did not defend well. In the first half we had too many simple ball losses and didn't take advantage of our speed. After the break, Hoffenheim came out with a lot of quality, but we weren't sure of it.",regular loss,dominant loss
54," It's a deserved defeat, it's a deserved victory. We were a little lucky in one or two situations. We're taking the point with us.",regular loss,dominant loss
55," We didn't get into the game well, but we had good access and were able to make it 2-0. We had problems in the second half and had to take a counterattack. After the 1-1 draw we had a lot of room for improvement.",regular loss,dominant loss
56," We had too many chances to score. We have to make a few simple corrections. The first goal was unnecessary. After that we were too open. The second, more difficult game was seen. We are in a very difficult situation.",regular loss,dominant loss
57," We were a bit too passive in the first half, the last pass didn't come through. We have to make it 3-2 and then we get the goal too easily. It's not easy to defend Bayern Munich, it's hard to defend against them.",regular loss,dominant loss
58, I am of course disappointed. We didn't have the punch and the ball in the first half. Then we didn't have the courage to go out on the pitch and have the opportunity to score another goal. We have to be realistic about that.,regular loss,dominant loss
59," We played a very good first half with a lot of speed, which was a plus. We had a good grip and were able to keep the game open.",regular loss,dominant loss
60," We did well, but we didn't take our chances. In the end, it's a shame because we weren't rewarded for the fight.",regular loss,dominant loss
61," We were the better team for over 90 minutes, we were too slow in our movements. After that we were a little too imprecise. It's a shame that the team didn't take the point.",regular loss,dominant loss
62," We played a good game. We didn't do well in the first half, then it gets tough. After that we got better and better in the second half.",regular loss,dominant loss
63, We played a very good game and had good access. It was an absolutely deserved home win for Wolfsburg.,regular loss,dominant loss
64," It was a very intense game, with a lot of passion, determination and determination. We were the better team for over 90 minutes. The 1-0 win was the turning point in the game. The 0: 1 was not an easy task, but we did it really well. We are happy that we won the game.",regular loss,dominant loss
65," We had a lot of control in the first half and had access to the front. The second half was better, but we were also lucky that we didn't concede. We are disappointed that we didn't take a point.",regular loss,dominant loss
66," We got into the game really well, but didn't make it out to be. The penalty decision didn't work, but we did better. After the equalization, Gladbach got more access.",regular loss,dominant loss
67, We were too passive in our exploitation of opportunities. We were too passive in our exploitation of opportunities. It was not a good performance. We had too many simple ball losses.,regular loss,dominant loss
68," We didn't get into the game well, but we did very well in the first half. After that, Hoffenheim got better and played more compactly.",regular loss,dominant loss
